line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
793;bim;Bimoba;Bimoba language;regular;nic-grm;Gurma;;;;Latn;;
794;bin;Edo;Edo language;regular;alv-eeo;Edo-Esan-Ora;sortkey;autodetect;;Latn;Bini;
795;bio;Nai;Nai language;regular;paa-kwm;Kwomtari;;;;Latn;Biaka;
796;bip;Bila;Bila language;regular;bnt-kbi;Komo-Bira;;;;Latn;Forest Bira;
797;biq;Bipi;Bipi language;regular;poz-aay;Admiralty Islands;;;;Latn;;
798;bir;Bisorio;Bisorio language;regular;paa-eng;Engan;;;;Latn;;
799;bit;Berinomo;Berinomo language;regular;paa-spk;Sepik;;;;Latn;Bitara;
800;biu;Biete;Biete language;regular;tbq-kuk;Kukish;;;;Latn;;
801;biv;Southern Birifor;Southern Birifor language;regular;nic-mre;Moré;;;;Latn;;
802;biw;Kol (Cameroon);Kol (Cameroon) language;regular;bnt-mka;Makaa;;;;Latn;;
803;bix;Bijori;Bijori language;regular;mun;Munda;;;;Deva;;
804;biy;Birhor;Birhor language;regular;mun;Munda;;;;Deva;;
805;biz;Baloi;Baloi language;regular;bnt-ngn;Ngondi-Ngiri;;;;Latn;;
806;bja;Budza;Budza language;regular;bnt-bun;Buja-Ngombe;;;;Latn;;
807;bjb;Barngarla;Barngarla language;regular;aus-pam;Pama-Nyungan;;;;Latn;Parnkalla,Banggarla,Parnkala,Parnkarla,Barngala,Bangala,Bungala,Bungela,Banggala,Bahngala,Pankalla,Punkalla,Pangkala,Pankarla,Parkalla,Pakarla,Bungeha,Bahanga-La,Kortabina,Arkaba-tura,Port Lincon,Kooapidna,Punkirla,Wanbirujurari,Willara,Willeuroo;
808;bjc;Bariji;Bariji language;regular;ngf;Trans-New Guinea;;;;Latn;Bareji,Aga Bereho;
809;bje;Biao-Jiao Mien;Biao-Jiao Mien language;regular;hmx-mie;Mien;sortkey;;;Hani,Latn;Biao Min,Jiaogong Mian;
810;bjf;Barzani Jewish Neo-Aramaic;Barzani Jewish Neo-Aramaic language;regular;sem-nna;Northeastern Neo-Aramaic;;;;Hebr;;
811;bjg;Bidyogo;Bidyogo language;regular;alv-bak;Bak;;;;Latn;;
812;bjh;Bahinemo;Bahinemo language;regular;paa-spk;Sepik;;;;Latn;;
